# Sparse Matrix (Morse)  
# first line: n m (is symmetic) nbcoef 
# after for each nonzero coefficient:   i j a_ij where (i,j) \in  {1,...,n}x{1,...,m} 
736 736 0  4946
        1         1 0.63749082623503972
        1         2 -0.20288877339813788
        1         3 -0.43460205283690184
        2         1 -0.20288877339813788
        2         2 1.7814736255660266
        2         3 -0.49035708475119455
        2         6 -0.20235384672056445
        2         7 -0.8858739206961298
        3         1 -0.43460205283690184
        3         2 -0.49035708475119455
        3         3 1.7927351090206223
        3         4 -0.46059882727325491
        3         7 -0.40717714415927142
        4         3 -0.46059882727325491
        4         4 1.8048508046039218
        4         5 -0.45236996898467502
        4         7 -0.55931316402728182
        4         8 -0.33256884431871014
        5         4 -0.45236996898467502
        5         5 1.7811491981509284
        5         8 -0.42276396937416016
        5         9 -0.25803309129813518
        5        12 -0.64798216849395796
        6         2 -0.20235384672056445
        6         6 1.7746012183563278
        6         7 -0.60188526272449239
        6        10 -0.1949051987062364
        6        13 -0.7754569102050346
        7         2 -0.8858739206961298
        7         3 -0.40717714415927142
        7         4 -0.55931316402728182
        7         6 -0.60188526272449239
        7         7 3.7427275116040777
        7         8 -1.1287976071311598
        7        13 -0.15968041286574186
        8         4 -0.33256884431871014
        8         5 -0.42276396937416016
        8         7 -1.1287976071311598
        8         8 3.9424998356048175
        8        12 -0.84716020363821709
        8        13 -0.091083886126561486
        8        14 -1.1201253250160093
        9         5 -0.25803309129813518
        9         9 1.7586757122504291
        9        12 -0.50417643004079893
        9        15 -0.71508649700126459
        9        16 -0.28137969391022999
       10         6 -0.1949051987062364
       10        10 1.7604235959226258
       10        11 -0.30728509243751395
       10        13 -0.80932919447057539
       10        19 -0.44890411030830007
       11        10 -0.30728509243751395
       11        11 1.7393897893036443
       11        19 -0.52546820738969435
       11        21 -0.2174530016759558
       11        22 -0.68918348780048011
       12         5 -0.64798216849395796
       12         8 -0.84716020363821709
       12         9 -0.50417643004079893
       12        12 3.6369801394843351
       12        14 -0.30643635776302858
       12        15 -0.95802721765045662
       12        27 -0.37319776189787596
       13         6 -0.7754569102050346
       13         7 -0.15968041286574186
       13         8 -0.091083886126561486
       13        10 -0.80932919447057539
       13        13 3.733270145751904
       13        14 -1.0085390017452429
       13        19 -0.34520527299035597
       13        28 -0.54397546734839142
       14         8 -1.1201253250160093
       14        12 -0.30643635776302858
       14        13 -1.0085390017452429
       14        14 3.9033325982959863
       14        27 -0.74413547892711396
       14        28 -0.7240964348445913
       15         9 -0.71508649700126459
       15        12 -0.95802721765045662
       15        15 3.6438084042708594
       15        16 -0.55399391551064348
       15        27 -0.74947764722638155
       15        29 -0.2749836430301994
       15        30 -0.39223948385191348
       16         9 -0.28137969391022999
       16        15 -0.55399391551064348
       16        16 1.756328078781221
       16        30 -0.60455860276135598
       16        31 -0.3163958665989916
       17        17 1.7252106871746551
       17        18 -0.28591756423432174
       17        32 -0.30648799766116724
       17        41 -0.45392302579112853
       17        42 -0.67888209948803757
       18        17 -0.28591756423432174
       18        18 1.7219469492920916
       18        20 -0.27610718658774108
       18        42 -0.49237609483396283
       18        43 -0.66754610363606603
       19        10 -0.44890411030830007
       19        11 -0.52546820738969435
       19        13 -0.34520527299035597
       19        19 3.6107493454560626
       19        22 -0.53680700774412782
       19        28 -0.76697770532944964
       19        44 -0.9873870416941346
       20        18 -0.27610718658774108
       20        20 1.7207796705414304
       20        26 -0.31338177119886335
       20        43 -0.51553425816600784
       20        45 -0.61575645458881834
       21        11 -0.2174530016759558
       21        21 1.7292249357592986
       21        22 -0.66382062234688943
       21        23 -0.30007392469271804
       21        46 -0.54787738704373534
       22        11 -0.68918348780048011
       22        19 -0.53680700774412782
       22        21 -0.66382062234688943
       22        22 3.5175000600248696
       22        44 -0.50878633289334685
       22        46 -0.38475846707975914
       22        47 -0.73414414216026613
       23        21 -0.30007392469271804
       23        23 1.7246516124002533
       23        24 -0.30057716415600028
       23        46 -0.61513018898029692
       23        48 -0.50887033457123809
       24        23 -0.30057716415600028
       24        24 1.7296483835985772
       24        25 -0.29867730814015719
       24        48 -0.67351492817370928
       24        49 -0.45687898312871067
       25        24 -0.29867730814015719
       25        25 1.729204877973807
       25        26 -0.30519741587541288
       25        49 -0.67287887129829493
       25        50 -0.45245128265994183
       26        20 -0.31338177119886335
       26        25 -0.30519741587541288
       26        26 1.7286370769647446
       26        45 -0.44632708319704495
       26        50 -0.66373080669342333
       27        12 -0.37319776189787596
       27        14 -0.74413547892711396
       27        15 -0.74947764722638155
       27        27 3.750202780040587
       27        28 -0.78274848275682263
       27        29 -0.93473353848789564
       27        51 -0.16590987074449795
       28        13 -0.54397546734839142
       28        14 -0.7240964348445913
       28        19 -0.76697770532944964
       28        27 -0.78274848275682263
       28        28 3.6756712392677096
       28        44 -0.57338557284149494
       28        51 -0.28448757614695996
       29        15 -0.2749836430301994
       29        27 -0.93473353848789564
       29        29 3.8386198085807157
       29        30 -0.79528171577763573
       29        51 -1.076659873273166
       29        52 -0.75696103801181902
       30        15 -0.39223948385191348
       30        16 -0.60455860276135598
       30        29 -0.79528171577763573
       30        30 3.5907795906872875
       30        31 -0.56094091565203097
       30        52 -0.3444363186515717
       30        53 -0.89332255399277927
       31        16 -0.3163958665989916
       31        30 -0.56094091565203097
       31        31 1.7397514245962145
       31        53 -0.54705581769116707
       31        54 -0.31535882465402476
       32        17 -0.30648799766116724
       32        32 1.7188209373375161
       32        33 -0.29306267949123993
       32        41 -0.63248432009761613
       32        57 -0.48678594008749299
       33        32 -0.29306267949123993
       33        33 1.7204592770868679
       33        34 -0.30908994511248716
       33        57 -0.65784820289285317
       33        58 -0.46045844959028737
       34        33 -0.30908994511248716
       34        34 1.725863719206707
       34        35 -0.32287772603274728
       34        58 -0.67320304658626462
       34        59 -0.42069300147520772
       35        34 -0.32287772603274728
       35        35 1.7300008735411367
       35        36 -0.33932253071239848
       35        59 -0.6712195283824669
       35        60 -0.39658108841352363
       36        35 -0.33932253071239848
       36        36 1.7310888932958526
       36        37 -0.35733410085858003
       36        60 -0.64939794318617916
       36        61 -0.38503431853869508
       37        36 -0.35733410085858003
       37        37 1.7293825523832604
       37        38 -0.34108219420032848
       37        61 -0.64329721321144939
       37        62 -0.38766904411290248
       38        37 -0.34108219420032848
       38        38 1.7428133902943777
       38        39 -0.36050020635286356
       38        62 -0.70877558697443321
       38        63 -0.33245540276675273
       39        38 -0.36050020635286356
       39        39 1.7566927971507118
       39        40 -0.37779617883132727
       39        63 -0.72746214349514793
       39        64 -0.29093426847137294
       40        39 -0.37779617883132727
       40        40 1.74915821072654
       40        55 -0.37163864347034509
       40        64 -0.69369866854142959
       40        65 -0.30602471988343821
       41        17 -0.45392302579112853
       41        32 -0.63248432009761613
       41        41 3.4850005378936197
       41        42 -0.61951026282439203
       41        57 -0.62787107583490309
       41        66 -0.65632631194572699
       41        67 -0.49488554139985241
       42        17 -0.67888209948803757
       42        18 -0.49237609483396283
       42        41 -0.61951026282439203
       42        42 3.4772715282717508
       42        43 -0.57241428833924091
       42        67 -0.62711001663739374
       42        68 -0.48697876614872393
       43        18 -0.66754610363606603
       43        20 -0.51553425816600784
       43        42 -0.57241428833924091
       43        43 3.4765207015237372
       43        45 -0.59312348880799193
       43        68 -0.60140415188887997
       43        69 -0.52649841068555014
       44        19 -0.9873870416941346
       44        22 -0.50878633289334685
       44        28 -0.57338557284149494
       44        44 3.6288717263097299
       44        47 -0.64684383979141136
       44        51 -0.57238440230297849
       44        70 -0.34008453678636386
       45        20 -0.61575645458881834
       45        26 -0.44632708319704495
       45        43 -0.59312348880799193
       45        45 3.4839940339677753
       45        50 -0.63103121683296259
       45        69 -0.64507256819239478
       45        71 -0.55268322234856293
       46        21 -0.54787738704373534
       46        22 -0.38475846707975914
       46        23 -0.61513018898029692
       46        46 3.5500640951251592
       46        47 -0.90789979349778105
       46        48 -0.48839231066110744
       46        72 -0.60600594786247952
       47        22 -0.73414414216026613
       47        44 -0.64684383979141136
       47        46 -0.90789979349778105
       47        47 3.7545307754250956
       47        70 -0.37809624976792106
       47        72 -0.092314500886530898
       47        73 -0.99523224932118504
       48        23 -0.50887033457123809
       48        24 -0.67351492817370928
       48        46 -0.48839231066110744
       48        48 3.5007359009086523
       48        49 -0.63057876490875209
       48        72 -0.6204534911824684
       48        74 -0.57892607141137686
       49        24 -0.45687898312871067
       49        25 -0.67287887129829493
       49        48 -0.63057876490875209
       49        49 3.5235829603218729
       49        50 -0.52214202560181666
       49        74 -0.42416114761389512
       49        75 -0.81694316777040288
       50        25 -0.45245128265994183
       50        26 -0.66373080669342333
       50        45 -0.63103121683296259
