# Sparse Matrix (Morse)  
# first line: n m (is symmetic) nbcoef 
# after for each nonzero coefficient:   i j a_ij where (i,j) \in  {1,...,n}x{1,...,m} 
41 736 0  41
        1       391 1
        2       364 1
        3       355 1
        4       356 1
        5       328 1
        6       354 1
        7       327 1
        8       393 1
        9       421 1
       10       392 1
       11       446 0.99999999999999989
       12       385 1
       13       358 1
       14       357 1
       15       422 1
       16       448 1
       17       415 1
       18       474 1
       19       378 1
       20       387 1
       21       386 1
       22       475 1
       23       447 1
       24       443 1
       25       417 1
       26       502 1
       27       499 0.99999999999999989
       28       407 1
       29       416 1
       30       408 1
       31       471 1
       32       444 1
       33       472 1
       34       493 1
       35       435 1
       36       436 1
       37       465 1
       38       494 1
       39       463 0.99999999999999989
       40       464 1
       41       491 1

