# Sparse Matrix (Morse)  
# first line: n m (is symmetic) nbcoef 
# after for each nonzero coefficient:   i j a_ij where (i,j) \in  {1,...,n}x{1,...,m} 
39 729 0  39
        1       328 1
        2       329 1
        3       332 1
        4       333 1
        5       334 1
        6       352 1
        7       359 1
        8       360 1
        9       361 1
       10       364 1
       11       365 1
       12       366 1
       13       381 1
       14       382 1
       15       389 1
       16       390 1
       17       392 1
       18       393 1
       19       394 1
       20       407 1
       21       408 1
       22       411 1
       23       417 1
       24       418 1
       25       419 1
       26       420 1
       27       422 1
       28       437 1
       29       438 1
       30       439 1
       31       445 1
       32       446 1
       33       450 1
       34       464 1
       35       465 1
       36       466 1
       37       470 1
       38       474 1
       39       479 1

