# Sparse Matrix (Morse)  
# first line: n m (is symmetic) nbcoef 
# after for each nonzero coefficient:   i j a_ij where (i,j) \in  {1,...,n}x{1,...,m} 
729 729 0  4897
        1         1 0.63749082623505437528
        1         2 -0.43460205283694763878
        1         3 -0.20288877339810665323
        2         1 -0.43460205283694763878
        2         2 1.9001072616121490455
        2         3 -0.2641571491780645986
        2         4 -1.0011912145925969675
        2         5 -0.20015684500453956307
        3         1 -0.20288877339810665323
        3         2 -0.2641571491780645986
        3         3 1.7792260605172665056
        3         4 -0.87922600353554036801
        3         7 -0.20044726429796463907
        3         8 -0.23250687010758996909
        4         2 -1.0011912145925969675
        4         3 -0.87922600353554036801
        4         4 3.786800761428401163
        4         5 -0.59275766882092417731
        4         8 -0.91738101410701911043
        4         9 -0.39624486037231992919
        5         2 -0.20015684500453961858
        5         4 -0.59275766882092417731
        5         5 1.7646934904495741314
        5         6 -0.19478629130090227561
        5         9 -0.77699268532320786562
        6         5 -0.19478629130090227561
        6         6 1.7489067082659293106
        6         9 -0.69882641966424130509
        6        10 -0.25803306550782978412
        6        11 -0.59726093179295625113
        7         3 -0.20044726429796461131
        7         7 1.7978944553463473977
        7         8 -0.64693849970034045249
        7        12 -0.22366190586731460321
        7        13 -0.72684678548072811921
        8         3 -0.23250687010758999684
        8         4 -0.91738101410701911043
        8         7 -0.64693849970034045249
        8         8 4.0633183615050700865
        8         9 -0.95010408661947098885
        8        13 -1.2825259465128535652
        8        18 -0.033861944457796458452
        9         4 -0.39624486037231992919
        9         5 -0.77699268532320808767
        9         6 -0.69882641966424130509
        9         8 -0.95010408661947098885
        9         9 3.7340086581365028451
        9        11 -0.66702716213769353004
        9        18 -0.24481344401956933732
       10         6 -0.25803306550782978412
       10        10 1.7586757008232358768
       10        11 -0.5041765557563815392
       10        19 -0.28137964706345863775
       10        20 -0.7150864324955659157
       11         6 -0.59726093179295625113
       11         9 -0.66702716213769353004
       11        10 -0.50417655575638165022
       11        11 3.8248164480669326615
       11        18 -1.0868214352351699414
       11        20 -0.96953036314473162172
       12         7 -0.22366190586731460321
       12        12 1.7542228184537265179
       12        13 -0.60051829478052232147
       12        15 -0.30728510230101707679
       12        21 -0.62275751550487246089
       13         7 -0.72684678548072811921
       13         8 -1.2825259465128533432
       13        12 -0.60051829478052232147
       13        13 3.8516411227052955724
       13        18 -0.51761427707454465974
       13        21 -0.1028270918311128268
       13        22 -0.621308727025534413
       14        14 1.7368624524389697505
       14        15 -0.30031541825829055625
       14        23 -0.23021386031806820305
       14        24 -0.69926498620338295442
       14        25 -0.50706818765922800907
       15        12 -0.30728510230101707679
       15        14 -0.30031541825829055625
       15        15 1.7247839172827486021
       15        21 -0.6074631655045972245
       15        25 -0.50972023121884391106
       16        16 1.7209585121839761079
       16        17 -0.32230137468468933459
       16        26 -0.64125472156904006482
       16        27 -0.44831244868136421733
       16        28 -0.30908996724888232466
       17        16 -0.32230137468468933459
       17        17 1.7210453058618651045
       17        27 -0.62281552775887083495
       17        29 -0.4366058483858396011
       17        30 -0.3393225550324653339
       18         8 -0.033861944457796444574
       18         9 -0.24481344401956933732
       18        11 -1.0868214352351699414
       18        13 -0.51761427707454465974
       18        18 3.8091525530228036445
       18        20 -0.27710950481954316205
       18        22 -1.0126026450402854096
       18        38 -0.6363293023758946898
       19        10 -0.28137964706345858223
       19        19 1.756328071012103198
       19        20 -0.55399402630431759942
       19        39 -0.6045585273521626446
       19        40 -0.31639587029216448277
       20        10 -0.7150864324955659157
       20        11 -0.96953036314473162172
       20        18 -0.27710950481954316205
       20        19 -0.55399402630431759942
       20        20 3.6633991066654525426
       20        38 -0.78940493499509378772
       20        39 -0.35827384490620034496
       21        12 -0.62275751550487257191
       21        13 -0.10282709183111285456
       21        15 -0.6074631655045972245
       21        21 3.7747214525751298098
       21        22 -0.98411379853461089517
       21        25 -0.45632283271090812171
       21        41 -1.0012370484890287248
       22        13 -0.621308727025534413
       22        18 -1.0126026450402854096
       22        21 -0.98411379853461089517
       22        22 3.8270696669512465071
